PROCESSO_ANATEL;PROTOCOLO_DATA;ACORDO_TIPO;PRESTADORA_1_CNPJ;PRESTADORA_1;PRESTADORA_1_SERV_MOD;PRESTADORA_2_CNPJ;PRESTADORA_2;PRESTADORA_2_SERV_MOD;DESPACHO_DECISORIO_SEI;DESPACHO_DECISORIO_DATA;CONCLUSAO_DATA;OBSERVACAO
53500.028940/2006-92;26/10/2006;;02.449.992/0001-64;VIVO S/A;SMP;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SME;;06/10/2014;06/10/2014;Classe: IV. Localização: ARQUIVO GERAL. 
53500.004342/2007-17;14/02/2007;CONTRATO;02.449.992/0001-64;VIVO S/A;SMP;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SME;47;05/08/2015;19/08/2015;Classe: IV. Localização: ESTAÇÃO. 
53500.021964/2008-82;14/08/2008;;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;05.958.690/0001-00;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA;SMP;3;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL. 
53500.004720/2009-16;04/03/2009;;02.449.992/0001-64;VIVO S/A;SMP;05.958.690/0001-00;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA;SMP;2;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL. 
53500.007610/2009-14;19/03/2009;;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SME;01.009.876/0001-61;FALKLAND TECNOLOGIA EM TELECOMUNICAÇÕES S.A. (IPCORP);SME;4998;26/09/2014;29/09/2014;Classe: IV. Localização: ESTAÇÃO. 
53500.009336/2009-18;16/04/2009;;04.206.050/0001-80;TIM CELULAR S.A.;SMP;05.958.690/0001-00;UNICEL DO BRASIL TELECOMUNICAÇÕES LTDA;SMP;1;13/06/2013;17/06/2013;Classe: IV. Localização: ARQUIVO SETORIAL. 
53500.006110/2004-42;02/12/2009;;40.432.544/0001-47;CLARO S.A.;SMP;71.208.516/0001-74;ALGAR TELECOM S/A;SMP;4038;13/08/2013;15/08/2013;Classe: IV. Localização: ESTAÇÃO. 
53500.026931/2010-43;19/10/2010;CONTRATO;02.449.992/0001-64;VIVO S/A;SMP;81.681.207/0001-70;SUPERCHIP TELECOMUNICAÇÕES;SME;3583;16/07/2013;18/07/2013;Classe: IV. Localização: SCP/NÚCLEO. 
53500.027611/2010-19;28/10/2010;ADITIVO;71.208.516/0001-74;ALGAR TELECOM S/A;SMP;02.449.992/0001-64;VIVO S/A;SMP;3593;16/07/2013;18/07/2013;Classe: IV. Localização: SCP/NÚCLEO. 
53500.028794/2011-62;21/12/2011;;;BRASIL TELECOM;STFC-LOCAL/LDN/LDI;08.868.001/0001-64;HOJE SISTEMAS DE INFORMÁTICA LTDA;STFC-LOCAL/LDN/LDI;5252;30/10/2013;01/11/2013;Classe: I-770.
53500.016955/2007-99;09/01/2012;;;KONECTA;STFC-LOCAL/LDN/LDI;02.558.157/0001-62;TELECOMUNICAÇÕES DE SÃO PAULO S/A - TELESP;STFC-LOCAL/LDN/LDI;2613;19/04/2013;17/05/2013;Classe: I-383. Localização: ARQUIVO SETORIAL. 
53500.005208/2012-92;06/03/2012;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;13.114.336/0001-27;PORTO VELHO TELECOMUNICAÇÕES LTDA - EPP;STFC-LOCAL;3322;24/06/2013;02/07/2013;Classe: I-782. Localização: ARQUIVO SETORIAL. 
53500.005631/2012-92;08/03/2012;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;09.446.842/0001-46;HIT TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3311;20/06/2013;24/06/2013;Classe: I-785. Localização: ARQUIVO SETORIAL. 
53500.010213/2012-17;07/05/2012;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;2516;15/04/2013;17/05/2013;Classe: I-826. Localização: ARQUIVO SETORIAL. 
53500.011875/2012-12;23/05/2012;;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SMP;03.420.926/0001-24;GLOBAL VILLAGE TELECOM S.A. (GVT);STFC-LOCAL/LDN/LDI;6469;26/11/2014;26/11/2014;Classe: II-607. Localização: ESTAÇÃO. 
53500.014327/2012-36;02/07/2012;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;09.446.842/0001-46;HIT TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;3320;24/06/2013;02/07/2013;Classe: I-849. Localização: ARQUIVO SETORIAL. 
53500.015740/2012-18;12/07/2012;ADITIVO;02.449.992/0001-64;VIVO S/A;SMP;10.552.549/0001-42;LAFAIETE PROVEDOR DE INTERNET E TELECOMUNICAÇÕES LTDA (LAFAIETE TELECOM);STFC-LOCAL/LDN/LDI;3476;09/07/2013;10/07/2013;Classe: II-617. Localização: SCP/NÚCLEO. 
53500.001250/2006-96;23/07/2012;ADITIVO;71.208.516/0001-74;ALGAR TELECOM S/A;STFC-LOCAL/LDN/LDI;66.970.229/0001-67;NEXTEL TELECOMUNICAÇÕES LTDA;SME;5064;17/10/2013;18/10/2013;Classe: II-299. Localização: ESTAÇÃO. 
53500.017032/2012-11;31/07/2012;;05.423.963/0001-11;OI MÓVEL S.A.;SMP;09.446.842/0001-46;HIT TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;3246;14/06/2013;18/06/2013;Classe: II-620. Localização: ARQUIVO SETORIAL. 
53500.031573/2012-52;30/08/2012;;02.449.992/0001-64;VIVO S/A;SMP;14.052.580/0001-75;AVA TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3474;09/07/2013;11/07/2013;Classe: II-641.
53500.020628/2012-07;13/09/2012;;76.535.764/0001-43;OI S.A.;STFC-LOCAL;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;2749;25/04/2013;17/05/2013;Classe: I-870. Localização: ARQUIVO SETORIAL. 
53500.021111/2012-27;13/09/2012;CONTRATO;76.535.764/0001-43;OI S.A.;STFC-LDN/LDI;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LOCAL;3591;16/07/2013;18/07/2013;Classe: I. Localização: SCP/NÚCLEO. 
53500.021108/2012-11;21/09/2012;;76.535.764/0001-43;OI S.A.;STFC-LOCAL;06.128.103/0001-18;VIPWAY SERVIÇOS DE TELECOMUNICAÇÕES LTDA;STFC-LDN/LDI;2750;25/04/2013;17/05/2013;Classe: I-872. Localização: ARQUIVO SETORIAL. 
53500.022789/2012-27;04/10/2012;ADITIVO;02.449.992/0001-64;VIVO S/A;SMP;11.400.830/0001-22;ENCANTO TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3465;09/07/2013;10/07/2013;Classe: II-628. Localização: ARQUIVO SETORIAL. 
53500.023658/2012-67;19/10/2012;;02.558.157/0001-62;TELEFÔNICA BRASIL S.A.;STFC-LOCAL/LDN/LDI;39.495.486/0001-11;DATORA TELECOMUNICAÇÕES LTDA;SMP;1805;14/03/2013;17/05/2013;Classe: II-650. Localização: ARQUIVO SETORIAL. 
53500.024600/2012-31;19/10/2012;;02.449.992/0001-64;VIVO S/A;SMP;39.495.486/0001-11;DATORA TELECOMUNICAÇÕES LTDA;STFC-LOCAL/LDN/LDI;3461;09/07/2013;10/07/2013;Classe: II-629. Localização: ARQUIVO SETORIAL. 
53500.025258/2012-96;01/11/2012;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LDN/LDI;39.495.486/0001-11;DATORA TELECOMUNICAÇÕES LTDA;SMP;2088;27/03/2013;17/05/2013;Classe: II-630. Localização: ARQUIVO SETORIAL. 
53500.025851/2012-32;08/11/2012;;33.530.486/0001-29;EMPRESA BRASILEIRA DE TELECOMUNICAÇÕES (EMBRATEL);STFC-LOCAL;39.495.486/0001-11;DATORA TELECOMUNICAÇÕES LTDA;SMP;2158;02/04/2013;17/05/2013;Classe: II-632. Localização: ARQUIVO SETORIAL. 
